,title,link
11,11.5早读 | 工欲善其事，必先利其器,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556463&idx=1&sn=f006d7cc477223b156090c996b765c30&chksm=f7ebce22c09c47345256b4b0b47ee306d5188e2d806b492cba44f29d1d8bce858f7b8b89594d#rd
12,看《东城梦魇》学地道英语口语,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556463&idx=2&sn=e5613d8cf3a0c750734e51de92ecfee9&chksm=f7ebce22c09c47343b4db29c856e2b860432670b797f32cce566918c8f4d15c44cfc5898bc69#rd
13,每日听写|11.5,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556463&idx=3&sn=37bf895b2e00fd52a6237e99930854d8&chksm=f7ebce22c09c473419da73e03916c8b2bcfdc4e4722e687e91d8da24790ab6446ef059d273a7#rd
14,我们一起神翻译|11.5,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556463&idx=4&sn=2e0fc96093463e622541da41c426b3a4&chksm=f7ebce22c09c4734bdd901c72e0a5d0b48d509722ff9951e05cc68a4a85b921e97a06b39b5f2#rd
15,每日一句|11.5,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556463&idx=5&sn=ef2c74bb268d679b2dd955bc724d97fe&chksm=f7ebce22c09c47342ceb0dd89eff47225452383555549489f543c36abfc63c3857099c9ef38c#rd
16,11.4早读 | 走过场不可怕，怕的是连过场都懒得走了,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556432&idx=1&sn=39ac6dba6e69145bde830ce507860bd2&chksm=f7ebce1dc09c470bd4853713e3c8ed8749f4bb2cc80579585c75651e61547eea733f779e6d4a#rd
17,“死胡同”用英语怎么表达？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556432&idx=2&sn=4d8943faff298d091e48332fbde1cd4b&chksm=f7ebce1dc09c470b07bc5fef054e7a35d30ba7774043d04681d3fe96b0fdc9c00d1031f35ee4#rd
18,每日听写|11.4,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556432&idx=3&sn=bed463f62a37da777895514f683523ce&chksm=f7ebce1dc09c470b3883a80c6ae640b28ad04b237310066a14a1919b417bf7d68de2ce416cda#rd
19,我们一起神翻译|11.4,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556432&idx=4&sn=2edf1f51b1ee8cd4b6bf4e5901a9d84d&chksm=f7ebce1dc09c470b2ff476c0638b41314ba8c5dfc215d696483ccc15ce44c80bc1192aa4891f#rd
20,每日一句|11.4,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556432&idx=5&sn=d5b8152ac1e21e3c3a12bd4fb1bb58b9&chksm=f7ebce1dc09c470bf341b84ee3213d8930ad7774158d1ffaf4d7eccd8a7c40407f6e72f3b97b#rd
21,"11.3早读 | Alan Walker, Coldplay—Hymn For The Weekend",http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556396&idx=1&sn=09a2a8e23de842365377f6c6bb9d271b&chksm=f7ebce61c09c4777e2cc3cb50801e681e935c061b102fba2cc18553c453c9efb1e2bae066c42#rd
22,每日听写|11.3,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556396&idx=2&sn=a7f52e463b5e4dbb2148b5d25f041681&chksm=f7ebce61c09c47777de6bfad942526d930da344c86f258e287ac660c1cd2dfae1f23a2d47724#rd
23,我们一起神翻译|11.3,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556396&idx=3&sn=6fd0d76e81ebfdecea33da360257a22a&chksm=f7ebce61c09c47772c82a9e3064f4a4638d8ea66e6025e2790dc95729e04040c692111fd52e3#rd
24,每日一句|11.3,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556396&idx=4&sn=f381755b69cdaffc3ef774bd4d512e20&chksm=f7ebce61c09c4777f75b6bbe4c57c4992cdba67db8b4892addbefdcfe535ea99f2b539eb5eb5#rd
25,11.2早读 | 恐惧是思维的杀手，恐惧是带来毁灭的小小的死亡,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=1&sn=687106fdfe7da5adbdf3a7a037bbcc5b&chksm=f7ebce4bc09c475d7fc4b9be3d50ee3550a05aa018cc727449635c49295570cbfb8382984a32#rd
27,每日听写|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=3&sn=be21d258e477bbac5acde335f3bfa17d&chksm=f7ebce4bc09c475d702e04f1a639f890a39defb6dccbf0b2135cd34d3b8cbae53cf4829f1a54#rd
28,我们一起神翻译|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=4&sn=1144fcf5ba0eaba293c4c1bcccf74429&chksm=f7ebce4bc09c475d04492daccdadd4ce1bb8376a98f8efa856bcb14a66fec05f63c19c43a37f#rd
29,每日一句|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=5&sn=9c4f81c83d1dd3c7c7e1e403aa42c0e9&chksm=f7ebce4bc09c475dc672aed9e2d1443456ffbca0f7081ba29cd40aa22f34f080c4f8a1c84a22#rd
30,11.1早读 | 不抑郁并不意味着你没有在挣扎，不倦怠也不意味着你火力全开,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=1&sn=05e5cd2806499d63aab66dd480ffc09a&chksm=f7ebceafc09c47b94ef5275549a02ec2115ea7803886751ed8c2710769914dd31cce1426fbb1#rd
31,【老外说】你了解抑郁症吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=2&sn=e3ffe5d99083882e8868622fe57da601&chksm=f7ebceafc09c47b9858d1b1cef0adc50c4cfe86b02c9724a2c15e4243a4acbbb2f3dc4aadf73#rd
32,每日听写|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=3&sn=55861de7f615baad50f93e5cf6da3d57&chksm=f7ebceafc09c47b99aa84ce62297d64b0e257bc774d88c373e4c842804869a00572cdec9a9fe#rd
33,我们一起神翻译|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=4&sn=897e328bf7be0062b606d821017b1b47&chksm=f7ebceafc09c47b98e3b16272188c7e70fbee05f6f9ab6fb2ff20001716fb19491a52f19f6af#rd
34,为你读诗——雪夜林畔小驻,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=1&sn=24b7339b5596e7648e99979ba45f6b12&chksm=f7ebced3c09c47c5aa9f28712ce29bb05ece6ebf8225776b4677fe6e1364f55d2fa20e4df6c4#rd
35,10.31早读 | 在你不敢踏足的洞穴里藏着你在寻找的宝藏,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=2&sn=a42cd2ec1c9570627266b42d889c5ea2&chksm=f7ebced3c09c47c5d5c7f3eb2e6eb230c6d6f4602ac374b30a5431ec3d9f1b0fc3e5939134ef#rd
36,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
37,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
38,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
39,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
40,10.29早读 | 现在我明白了，求婚时说什么、在哪说，其实都不重要...,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556217&idx=1&sn=53682029875149512a9c4803bee91cd6&chksm=f7ebcd34c09c4422a8ca2f2c9e5c11e0fae011bf0d3ab1fda26a9973925075d2af4997d1ea5e#rd
41,看《洛基》学英语口语,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556217&idx=2&sn=6d3a581c05cb46e3339daddfe0747a4c&chksm=f7ebcd34c09c44221cf9163f3d15067fa8b9a50f1859f22fc32d28e02e5adabee51362a9f9a4#rd
42,每日听写|10.29,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556217&idx=3&sn=5b387937f995671af0e227e4e211c581&chksm=f7ebcd34c09c4422579731e086c217a71ce4f0740bf3326a7924954903a6f381cd9ebbde1d49#rd
43,我们一起神翻译|10.29,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556217&idx=4&sn=dc966ee44cb2ec8b42fb95c44cd18c43&chksm=f7ebcd34c09c44227e3cb6891d31236a558e010cf31bb5a5f750d347532d1c8c201d10a17238#rd
44,每日一句|10.29,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556217&idx=5&sn=00730d700e937038695490591324e118&chksm=f7ebcd34c09c442282ce01d942511dd6bef489f2b1ecbb0331e1cdeb0ecb218c2419dc0225c8#rd
45,10.28早读 | 当你自己没有安全感时，再多外界的认同都不能让你感到安全,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556183&idx=1&sn=b752eb631a40fcf330f0b5d85c66f10b&chksm=f7ebcd1ac09c440cfcbb899d63cc1e8497545f8be3ab13e3697613c3f3ebc48b022f4cfa99ef#rd
46,看《东城梦魇》学地道英语口语,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556183&idx=2&sn=8e348784e3e9fac856a60b3d93819700&chksm=f7ebcd1ac09c440c5457940c8d6465e67f21db2253fef63cb49f74ba7c0a982ed455cfd70c94#rd
47,每日听写|10.28,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556183&idx=3&sn=1dd344877958814552dad9bc5a2bc80e&chksm=f7ebcd1ac09c440ce17d970f9235910b0952fa8275819cc64e989d375a50ca38f50a35bc72e9#rd
48,我们一起神翻译|10.28,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556183&idx=4&sn=d336a1fed4796e3e54559785b54488ec&chksm=f7ebcd1ac09c440c62d1b14022584eecffce7ae3c52f1c11d0b0592da073924da57dc4520999#rd
49,每日一句|10.28,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556183&idx=5&sn=9ff058d5d2d98058c56b95eaa5397093&chksm=f7ebcd1ac09c440c4f19ca4ef1189a2c05a19d548c661fd601c7aebb78aa297ed54e3c83b62d#rd
50,10.27早读 | 别以短期的收成来评判你的每一天，而要看你为未来播下了多少种子,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556145&idx=1&sn=20477fcc65a97ce27508d12e01f7dd99&chksm=f7ebcd7cc09c446a5b43735be60a8d8a3b067dcdd9870053a4c408ffd7c6e716f7daba47984a#rd
51,每日听写|10.27,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556145&idx=2&sn=a67a084af9bf4c7af2c7522324c2987a&chksm=f7ebcd7cc09c446a7eaca00f3ef339c8f4aa047cb8fb9d8ed0b26a97e13f403c487203dfae68#rd
52,我们一起神翻译|10.27,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556145&idx=3&sn=a691b7d498d81446f79e8a5afde1b134&chksm=f7ebcd7cc09c446ab3eb3017cd69e8617474ea12ebec8521e13ccf2471096f90b28771126187#rd
53,每日一句|10.27,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556145&idx=4&sn=2481efec5f2514ff6b5d1452b21e1d32&chksm=f7ebcd7cc09c446a70b0ecef95b7d6d4ace04ae55b4cf863024c3bba93d84ac69043d78d7041#rd
54,10.26早读 | Brian McKnight—Back At One,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556125&idx=1&sn=e53d239417d26d21c7d3521c83bbf697&chksm=f7ebcd50c09c44469782eda1309669e1f5cfd039ad256d95c3924c6db76979b05e3daaa1b818#rd
55,way to go 原来是这个意思~,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556125&idx=2&sn=0cfc313e55357b1e8435a71b67d6cc93&chksm=f7ebcd50c09c4446a6734c0e97cd7f3e33e5a6daaabc2db14a82c8d6a44f27f00754473afe67#rd
56,每日听写|10.26,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556125&idx=3&sn=a738674ea67d4e2305ff6c3d953ba208&chksm=f7ebcd50c09c44462a31b4f24a786c18c477078f5bdeb4c563432d1fa4f0e56e5c19788442b3#rd
57,我们一起神翻译|10.26,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556125&idx=4&sn=291f28b854de93c18b1b6e5b6b3d007a&chksm=f7ebcd50c09c44461ad23148131579f46049c305480171e95544f796a800a5ace690c0271377#rd
58,每日一句|10.26,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556125&idx=5&sn=dfb2db8be5f8031979e7a05b19df83c1&chksm=f7ebcd50c09c4446bc462b5fdba95c055c79820825581f1ce7a0d716861f51012f24c9e46e7f#rd
59,10.25早读 | 勇于接受挑战，克服心中恐惧，追寻渴望的宝藏，等待属于你的冒险故事的开始,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556080&idx=1&sn=2898d4c10cb28c30255089f1b88ce37f&chksm=f7ebcdbdc09c44abe94f5a602c5da5a7eb43abfe0033d53fa94250944009c047d78b504c1555#rd
60,【老外说】生命在于运动,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556080&idx=2&sn=3f7c4ecdecdc35b16bddd07aa79b8d0a&chksm=f7ebcdbdc09c44abf9c13d52e01194f537fe46281ef4aa4807359f5d459c89e3e395271827d1#rd
61,每日听写|10.25,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556080&idx=3&sn=b35150a82be7b13ff940cefbae4006d8&chksm=f7ebcdbdc09c44abb93fbbd866eb47cda521386e75785c3021c7a881224ff739f5ae46b5888f#rd
62,我们一起神翻译|10.25,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556080&idx=4&sn=fc64d846f1f3272c631bfb7eaf00d653&chksm=f7ebcdbdc09c44abff37dde906fd3801900b93ba3509998341a0fc12e8ea7d9845d9df233d91#rd
63,每日一句|10.25,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556080&idx=5&sn=533bbf8555ebd09e6bf53281e79b98d4&chksm=f7ebcdbdc09c44ab8daca32be3d91cec23d72984662df1f3f72d20491f9f03138a2056e47bdd#rd
64,为你读诗-The Road Not Taken,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556017&idx=1&sn=f68607ed9875f9bc9a969d0222fb1dfd&chksm=f7ebcdfcc09c44eaf96b97933d88b40066e65acab416a880a59247e83e9a3039682954e311d4#rd
65,10.24早读 | 困境总有时，但也正是因为这样，你才会时时记得幸福时刻的美好,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556017&idx=2&sn=c30f939e920a19f2d5d5d1f62e41dbaa&chksm=f7ebcdfcc09c44ead48a9fa85a555a2988aee9c4907200f836469ae9daee86515a7875f8a7c8#rd
66,每日听写飞鸟集|The Lake House07,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556017&idx=3&sn=b4b2c45b65f5613a8171ced6f23631f6&chksm=f7ebcdfcc09c44ea3abbd6b8bcbf8c020fb15e11383a64f7690d77d9dcdb2fbc2db74744bc04#rd
67,听歌学英文 | I Waiting For Love-Avicii/Martin Garrix,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556004&idx=1&sn=9d88b25f42b1059511f8db6c0b630239&chksm=f7ebcde9c09c44ffd66364147be84a35532a837e8da37875535d5f0a1309aba0a86f259eee5e#rd
68,10.23早读 | 我们需要更多的女性掌舵，更多的有色人种掌舵，更多的残疾人掌舵,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556004&idx=2&sn=9ccf6e362cce48208697aa0a08b5f62b&chksm=f7ebcde9c09c44ff177c7c06ba93c1584353477efee48fcbf68d05fdf67f33f6b6bd50929332#rd
69,每日听写10.18-10.22初级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556004&idx=3&sn=bd117f66b14c06248fa98f2ff2a3f9ad&chksm=f7ebcde9c09c44ffdd2dc1832e7dc1e3866f81afd91623ad874bfa8581c98b56c2d3fbcd0626#rd
70,10.22早读 | 当我们做选择时，命运很少眷顾我们,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555983&idx=1&sn=b5359d8f745af698971a476238cabafc&chksm=f7ebcdc2c09c44d4fd24935fdd1a262bf9fabf5d57947e762846a6a6f12aa1275dfac74338fb#rd
71,“渡过难关”用英语怎么说？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555983&idx=2&sn=d030d303b541668ba6a4a1217245ff02&chksm=f7ebcdc2c09c44d447d1050e6d6330dfff81b0448e75b1bd2b06cab1032189788af06e354c60#rd
72,每日听写|10.22,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555983&idx=3&sn=042701883f9cef91c533f99605665a49&chksm=f7ebcdc2c09c44d4e1f845dcf6559ac84ddd5b0671f3ad625fe8aa7cd5ff42a4f029900aa0bd#rd
73,我们一起神翻译|10.22,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555983&idx=4&sn=5d7f0d1513d83fd1ccb45ff430e1a319&chksm=f7ebcdc2c09c44d43c2f54d919a2a114c49c59c36533781e2a25a1d7c20a1935161fbebf3c9e#rd
74,每日一句|10.22,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555983&idx=5&sn=9ed4aacabaa838fd937ed4fa20b1f3c6&chksm=f7ebcdc2c09c44d44737d527cf98c298dc6fd16b25f08bcd11ac00af0af9ddc9fc1b6b4aa177#rd
75,10.21早读 | 冒着陷入疯魔的风险去追求虚名，实在愚蠢至极,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555957&idx=1&sn=eabcf9c83ee990a4b6bf43de09c2d231&chksm=f7ebcc38c09c452e9e41104360e710f2808df0a89f8823de2e13de4936055a186dc66aa11503#rd
76,bubble是气泡，那么burst your bubble是什么意思呢？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555957&idx=2&sn=dcedf326e4db5572f6cd0023fc309d17&chksm=f7ebcc38c09c452e7f8c1c64a1f88789bc3e3695cc1b5ba400e8e9aeeaa54e069e23be20b6a6#rd
77,每日听写|10.21,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555957&idx=3&sn=1205f7e76a241e0c42f057c0d72311f7&chksm=f7ebcc38c09c452ea4f99038931e5a39058923b2791ee6e90627e41669cdac9150138c9d8bd8#rd
78,我们一起神翻译|10.21,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555957&idx=4&sn=6a4fa48871ab96a03aa303793b1d0717&chksm=f7ebcc38c09c452eb848e17af3fbe023e7e70d86264970a569cc623bff35a3941ec06d11a3cb#rd
79,每日一句|10.21,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555957&idx=5&sn=ad9d517a36f924207b52f6a6a2296fbb&chksm=f7ebcc38c09c452e2bfb90dfdf414dd5ca4ebfc13bc02931fb975f96b5141516f168dfa0ffdd#rd
80,10.20早读 | 我们的疑虑是叛徒，因为疑虑使我们害怕去尝试，从而使我们失去了本可以获得的美好,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555926&idx=1&sn=fadeaf3cfa7fc92061249f4ae82fb27d&chksm=f7ebcc1bc09c450dc378111a2fe056306e2c8ac024ce48f817afc6cfdf9998335bb0dff8b7d7#rd
81,每日听写|10.20,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555926&idx=2&sn=d77bbb3cea23e737bca8bc1efb11f664&chksm=f7ebcc1bc09c450d2c95ffe62e835551da79a423d03323837041b7ff03c61a4619dc720734d8#rd
82,我们一起神翻译|10.20,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555926&idx=3&sn=a543fd3eda959aa3e09d852e2957837d&chksm=f7ebcc1bc09c450d505244ac27ef5f8fa353cbd8e0c38c0887a209d732b8a2771407016055a2#rd
83,每日一句|10.20,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555926&idx=4&sn=e4038a54456b5e744112bcb4ffd371f7&chksm=f7ebcc1bc09c450dd12fa46d9941139f447256c1389a348d5950da1bbdb1703359b858719ef5#rd
84,10.19早读 | 我要在老城路上策马扬鞭，不到筋疲力竭不罢休,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555907&idx=1&sn=7a63dbaee3c25c2b312986b973b84073&chksm=f7ebcc0ec09c45186f07be50f1d4c3f824dec8f3600e76b1055e86b06c7c8dfcb695f4a56b78#rd
85,“规矩是死的，人是活的”用英语怎么说？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555907&idx=2&sn=4c9ac76d3668e2f55f35842dbf407240&chksm=f7ebcc0ec09c45187940a80e44a4f5b15f74ea888489900f6075f344235fdd851d8d67658871#rd
86,每日听写|10.19,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555907&idx=3&sn=fa08ebca985fccca031eaf6a7f752ae5&chksm=f7ebcc0ec09c4518a35e0a29afa4e1039f42f46ad6de5efadaf5cf1d64ed04418e5cdf714102#rd
87,我们一起神翻译|10.19,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555907&idx=4&sn=b2b585ca369e6efc720637bac82aeb9b&chksm=f7ebcc0ec09c4518b8e6b663d7b042a60365e3c2a6fb900cdfe12b80ff7bfc61280fad92c636#rd
88,每日一句|10.19,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555907&idx=5&sn=f5041fecfbf102ee4f8b20c64be0a33a&chksm=f7ebcc0ec09c45186d29ddf9081ca154e2f53c9a1d610f1c41802c32b0897f783b04ca97f11c#rd
89,10.18早读 | 成功不是个人的雄心壮志，而是我们如何一起创造出更伟大的东西,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555886&idx=1&sn=653049a8ee2e5aeebc1f8c3c9ba555ca&chksm=f7ebcc63c09c4575a3cc46d558b998afd955f9b8e950ca6b14ba9790bbad16412c8a62b501fe#rd
90,【老外说】养育孩子的关键是什么？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555886&idx=2&sn=4fb155b202cbbc0cee073ded4ddfdc5e&chksm=f7ebcc63c09c4575db6b6de2080bc7c29640c227ccdcc228f5eb15e663d0f494137012fbc5e3#rd
91,每日听写|10.18,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555886&idx=3&sn=b23d1784dc9cecfb8cd85c83af6fdb46&chksm=f7ebcc63c09c45759eea6b9a707e1a49c91b1ddf7543193c7c7f707cd086ad8535083eacf125#rd
