No,title,link
11,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
12,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
13,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
14,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
15,11.2早读 | 恐惧是思维的杀手，恐惧是带来毁灭的小小的死亡,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=1&sn=687106fdfe7da5adbdf3a7a037bbcc5b&chksm=f7ebce4bc09c475d7fc4b9be3d50ee3550a05aa018cc727449635c49295570cbfb8382984a32#rd
17,每日听写|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=3&sn=be21d258e477bbac5acde335f3bfa17d&chksm=f7ebce4bc09c475d702e04f1a639f890a39defb6dccbf0b2135cd34d3b8cbae53cf4829f1a54#rd
18,我们一起神翻译|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=4&sn=1144fcf5ba0eaba293c4c1bcccf74429&chksm=f7ebce4bc09c475d04492daccdadd4ce1bb8376a98f8efa856bcb14a66fec05f63c19c43a37f#rd
19,每日一句|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=5&sn=9c4f81c83d1dd3c7c7e1e403aa42c0e9&chksm=f7ebce4bc09c475dc672aed9e2d1443456ffbca0f7081ba29cd40aa22f34f080c4f8a1c84a22#rd
20,11.1早读 | 不抑郁并不意味着你没有在挣扎，不倦怠也不意味着你火力全开,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=1&sn=05e5cd2806499d63aab66dd480ffc09a&chksm=f7ebceafc09c47b94ef5275549a02ec2115ea7803886751ed8c2710769914dd31cce1426fbb1#rd
21,【老外说】你了解抑郁症吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=2&sn=e3ffe5d99083882e8868622fe57da601&chksm=f7ebceafc09c47b9858d1b1cef0adc50c4cfe86b02c9724a2c15e4243a4acbbb2f3dc4aadf73#rd
22,每日听写|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=3&sn=55861de7f615baad50f93e5cf6da3d57&chksm=f7ebceafc09c47b99aa84ce62297d64b0e257bc774d88c373e4c842804869a00572cdec9a9fe#rd
23,我们一起神翻译|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=4&sn=897e328bf7be0062b606d821017b1b47&chksm=f7ebceafc09c47b98e3b16272188c7e70fbee05f6f9ab6fb2ff20001716fb19491a52f19f6af#rd
24,为你读诗——雪夜林畔小驻,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=1&sn=24b7339b5596e7648e99979ba45f6b12&chksm=f7ebced3c09c47c5aa9f28712ce29bb05ece6ebf8225776b4677fe6e1364f55d2fa20e4df6c4#rd
25,10.31早读 | 在你不敢踏足的洞穴里藏着你在寻找的宝藏,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=2&sn=a42cd2ec1c9570627266b42d889c5ea2&chksm=f7ebced3c09c47c5d5c7f3eb2e6eb230c6d6f4602ac374b30a5431ec3d9f1b0fc3e5939134ef#rd
26,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
27,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
28,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
29,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
30,11.2早读 | 恐惧是思维的杀手，恐惧是带来毁灭的小小的死亡,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=1&sn=687106fdfe7da5adbdf3a7a037bbcc5b&chksm=f7ebce4bc09c475d7fc4b9be3d50ee3550a05aa018cc727449635c49295570cbfb8382984a32#rd
31,桃李不言，下自成蹊,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=2&sn=5b2286d830042fc9cc9985beebed76a2&chksm=f7ebce4bc09c475d6dd1b4b52cf76a6570b0c800e9c6d6444126b5872a4b1bbbd38809251051#rd
32,每日听写|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=3&sn=be21d258e477bbac5acde335f3bfa17d&chksm=f7ebce4bc09c475d702e04f1a639f890a39defb6dccbf0b2135cd34d3b8cbae53cf4829f1a54#rd
33,我们一起神翻译|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=4&sn=1144fcf5ba0eaba293c4c1bcccf74429&chksm=f7ebce4bc09c475d04492daccdadd4ce1bb8376a98f8efa856bcb14a66fec05f63c19c43a37f#rd
34,每日一句|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=5&sn=9c4f81c83d1dd3c7c7e1e403aa42c0e9&chksm=f7ebce4bc09c475dc672aed9e2d1443456ffbca0f7081ba29cd40aa22f34f080c4f8a1c84a22#rd
35,11.1早读 | 不抑郁并不意味着你没有在挣扎，不倦怠也不意味着你火力全开,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=1&sn=05e5cd2806499d63aab66dd480ffc09a&chksm=f7ebceafc09c47b94ef5275549a02ec2115ea7803886751ed8c2710769914dd31cce1426fbb1#rd
36,【老外说】你了解抑郁症吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=2&sn=e3ffe5d99083882e8868622fe57da601&chksm=f7ebceafc09c47b9858d1b1cef0adc50c4cfe86b02c9724a2c15e4243a4acbbb2f3dc4aadf73#rd
37,每日听写|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=3&sn=55861de7f615baad50f93e5cf6da3d57&chksm=f7ebceafc09c47b99aa84ce62297d64b0e257bc774d88c373e4c842804869a00572cdec9a9fe#rd
38,我们一起神翻译|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=4&sn=897e328bf7be0062b606d821017b1b47&chksm=f7ebceafc09c47b98e3b16272188c7e70fbee05f6f9ab6fb2ff20001716fb19491a52f19f6af#rd
39,为你读诗——雪夜林畔小驻,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=1&sn=24b7339b5596e7648e99979ba45f6b12&chksm=f7ebced3c09c47c5aa9f28712ce29bb05ece6ebf8225776b4677fe6e1364f55d2fa20e4df6c4#rd
40,10.31早读 | 在你不敢踏足的洞穴里藏着你在寻找的宝藏,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=2&sn=a42cd2ec1c9570627266b42d889c5ea2&chksm=f7ebced3c09c47c5d5c7f3eb2e6eb230c6d6f4602ac374b30a5431ec3d9f1b0fc3e5939134ef#rd
41,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
42,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
43,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
44,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
45,11.2早读 | 恐惧是思维的杀手，恐惧是带来毁灭的小小的死亡,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=1&sn=687106fdfe7da5adbdf3a7a037bbcc5b&chksm=f7ebce4bc09c475d7fc4b9be3d50ee3550a05aa018cc727449635c49295570cbfb8382984a32#rd
46,桃李不言，下自成蹊,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=2&sn=5b2286d830042fc9cc9985beebed76a2&chksm=f7ebce4bc09c475d6dd1b4b52cf76a6570b0c800e9c6d6444126b5872a4b1bbbd38809251051#rd
47,每日听写|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=3&sn=be21d258e477bbac5acde335f3bfa17d&chksm=f7ebce4bc09c475d702e04f1a639f890a39defb6dccbf0b2135cd34d3b8cbae53cf4829f1a54#rd
48,我们一起神翻译|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=4&sn=1144fcf5ba0eaba293c4c1bcccf74429&chksm=f7ebce4bc09c475d04492daccdadd4ce1bb8376a98f8efa856bcb14a66fec05f63c19c43a37f#rd
49,每日一句|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=5&sn=9c4f81c83d1dd3c7c7e1e403aa42c0e9&chksm=f7ebce4bc09c475dc672aed9e2d1443456ffbca0f7081ba29cd40aa22f34f080c4f8a1c84a22#rd
50,11.1早读 | 不抑郁并不意味着你没有在挣扎，不倦怠也不意味着你火力全开,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=1&sn=05e5cd2806499d63aab66dd480ffc09a&chksm=f7ebceafc09c47b94ef5275549a02ec2115ea7803886751ed8c2710769914dd31cce1426fbb1#rd
51,【老外说】你了解抑郁症吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=2&sn=e3ffe5d99083882e8868622fe57da601&chksm=f7ebceafc09c47b9858d1b1cef0adc50c4cfe86b02c9724a2c15e4243a4acbbb2f3dc4aadf73#rd
52,每日听写|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=3&sn=55861de7f615baad50f93e5cf6da3d57&chksm=f7ebceafc09c47b99aa84ce62297d64b0e257bc774d88c373e4c842804869a00572cdec9a9fe#rd
53,我们一起神翻译|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=4&sn=897e328bf7be0062b606d821017b1b47&chksm=f7ebceafc09c47b98e3b16272188c7e70fbee05f6f9ab6fb2ff20001716fb19491a52f19f6af#rd
54,为你读诗——雪夜林畔小驻,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=1&sn=24b7339b5596e7648e99979ba45f6b12&chksm=f7ebced3c09c47c5aa9f28712ce29bb05ece6ebf8225776b4677fe6e1364f55d2fa20e4df6c4#rd
55,10.31早读 | 在你不敢踏足的洞穴里藏着你在寻找的宝藏,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=2&sn=a42cd2ec1c9570627266b42d889c5ea2&chksm=f7ebced3c09c47c5d5c7f3eb2e6eb230c6d6f4602ac374b30a5431ec3d9f1b0fc3e5939134ef#rd
56,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
57,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
58,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
59,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
60,11.2早读 | 恐惧是思维的杀手，恐惧是带来毁灭的小小的死亡,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=1&sn=687106fdfe7da5adbdf3a7a037bbcc5b&chksm=f7ebce4bc09c475d7fc4b9be3d50ee3550a05aa018cc727449635c49295570cbfb8382984a32#rd
61,桃李不言，下自成蹊,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=2&sn=5b2286d830042fc9cc9985beebed76a2&chksm=f7ebce4bc09c475d6dd1b4b52cf76a6570b0c800e9c6d6444126b5872a4b1bbbd38809251051#rd
62,每日听写|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=3&sn=be21d258e477bbac5acde335f3bfa17d&chksm=f7ebce4bc09c475d702e04f1a639f890a39defb6dccbf0b2135cd34d3b8cbae53cf4829f1a54#rd
63,我们一起神翻译|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=4&sn=1144fcf5ba0eaba293c4c1bcccf74429&chksm=f7ebce4bc09c475d04492daccdadd4ce1bb8376a98f8efa856bcb14a66fec05f63c19c43a37f#rd
64,每日一句|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=5&sn=9c4f81c83d1dd3c7c7e1e403aa42c0e9&chksm=f7ebce4bc09c475dc672aed9e2d1443456ffbca0f7081ba29cd40aa22f34f080c4f8a1c84a22#rd
65,11.1早读 | 不抑郁并不意味着你没有在挣扎，不倦怠也不意味着你火力全开,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=1&sn=05e5cd2806499d63aab66dd480ffc09a&chksm=f7ebceafc09c47b94ef5275549a02ec2115ea7803886751ed8c2710769914dd31cce1426fbb1#rd
66,【老外说】你了解抑郁症吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=2&sn=e3ffe5d99083882e8868622fe57da601&chksm=f7ebceafc09c47b9858d1b1cef0adc50c4cfe86b02c9724a2c15e4243a4acbbb2f3dc4aadf73#rd
67,每日听写|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=3&sn=55861de7f615baad50f93e5cf6da3d57&chksm=f7ebceafc09c47b99aa84ce62297d64b0e257bc774d88c373e4c842804869a00572cdec9a9fe#rd
68,我们一起神翻译|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=4&sn=897e328bf7be0062b606d821017b1b47&chksm=f7ebceafc09c47b98e3b16272188c7e70fbee05f6f9ab6fb2ff20001716fb19491a52f19f6af#rd
69,为你读诗——雪夜林畔小驻,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=1&sn=24b7339b5596e7648e99979ba45f6b12&chksm=f7ebced3c09c47c5aa9f28712ce29bb05ece6ebf8225776b4677fe6e1364f55d2fa20e4df6c4#rd
70,10.31早读 | 在你不敢踏足的洞穴里藏着你在寻找的宝藏,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=2&sn=a42cd2ec1c9570627266b42d889c5ea2&chksm=f7ebced3c09c47c5d5c7f3eb2e6eb230c6d6f4602ac374b30a5431ec3d9f1b0fc3e5939134ef#rd
71,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
72,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
73,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
74,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
75,11.2早读 | 恐惧是思维的杀手，恐惧是带来毁灭的小小的死亡,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=1&sn=687106fdfe7da5adbdf3a7a037bbcc5b&chksm=f7ebce4bc09c475d7fc4b9be3d50ee3550a05aa018cc727449635c49295570cbfb8382984a32#rd
76,桃李不言，下自成蹊,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=2&sn=5b2286d830042fc9cc9985beebed76a2&chksm=f7ebce4bc09c475d6dd1b4b52cf76a6570b0c800e9c6d6444126b5872a4b1bbbd38809251051#rd
77,每日听写|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=3&sn=be21d258e477bbac5acde335f3bfa17d&chksm=f7ebce4bc09c475d702e04f1a639f890a39defb6dccbf0b2135cd34d3b8cbae53cf4829f1a54#rd
78,我们一起神翻译|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=4&sn=1144fcf5ba0eaba293c4c1bcccf74429&chksm=f7ebce4bc09c475d04492daccdadd4ce1bb8376a98f8efa856bcb14a66fec05f63c19c43a37f#rd
79,每日一句|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=5&sn=9c4f81c83d1dd3c7c7e1e403aa42c0e9&chksm=f7ebce4bc09c475dc672aed9e2d1443456ffbca0f7081ba29cd40aa22f34f080c4f8a1c84a22#rd
80,11.1早读 | 不抑郁并不意味着你没有在挣扎，不倦怠也不意味着你火力全开,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=1&sn=05e5cd2806499d63aab66dd480ffc09a&chksm=f7ebceafc09c47b94ef5275549a02ec2115ea7803886751ed8c2710769914dd31cce1426fbb1#rd
81,【老外说】你了解抑郁症吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=2&sn=e3ffe5d99083882e8868622fe57da601&chksm=f7ebceafc09c47b9858d1b1cef0adc50c4cfe86b02c9724a2c15e4243a4acbbb2f3dc4aadf73#rd
82,每日听写|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=3&sn=55861de7f615baad50f93e5cf6da3d57&chksm=f7ebceafc09c47b99aa84ce62297d64b0e257bc774d88c373e4c842804869a00572cdec9a9fe#rd
83,我们一起神翻译|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=4&sn=897e328bf7be0062b606d821017b1b47&chksm=f7ebceafc09c47b98e3b16272188c7e70fbee05f6f9ab6fb2ff20001716fb19491a52f19f6af#rd
84,为你读诗——雪夜林畔小驻,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=1&sn=24b7339b5596e7648e99979ba45f6b12&chksm=f7ebced3c09c47c5aa9f28712ce29bb05ece6ebf8225776b4677fe6e1364f55d2fa20e4df6c4#rd
85,10.31早读 | 在你不敢踏足的洞穴里藏着你在寻找的宝藏,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=2&sn=a42cd2ec1c9570627266b42d889c5ea2&chksm=f7ebced3c09c47c5d5c7f3eb2e6eb230c6d6f4602ac374b30a5431ec3d9f1b0fc3e5939134ef#rd
86,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
87,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
88,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
89,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
90,11.2早读 | 恐惧是思维的杀手，恐惧是带来毁灭的小小的死亡,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=1&sn=687106fdfe7da5adbdf3a7a037bbcc5b&chksm=f7ebce4bc09c475d7fc4b9be3d50ee3550a05aa018cc727449635c49295570cbfb8382984a32#rd
